"Completed?","Year","Type","Problem #","Short Name","Description","Topic 1","Topic 2","Topic 3","Tags","Problem PDF","Solution PDF"
"","2023","Theoretical","3","Tennis Ball Collision","A tennis ball is dropped while a grasshopper jumps upward; they collide when the ball speed is twice the grasshopper speed; a horizontal tennis serve must also clear a net at 15 m.","Mechanics","","","projectile motion, collision kinematics, relative velocity, parabolic trajectory","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Problems_BPO5_ENG.pdf","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Solutions_BPO5_ENG.pdf"
"","2023","Theoretical","4","Resistor Circuit Efficiency","An electric circuit with two fixed resistors, one variable resistor, a voltmeter, and two ammeters is measured at multiple settings; graphically extract EMF and resistance values, then find the setting that maximizes power-transfer efficiency.","Electromagnetism","Experimental Methods","","Kirchhoff's laws, power efficiency, variable resistance, graphical analysis, EMF","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Problems_BPO5_ENG.pdf","https://balkanphysicalunion.info/wp-content/uploads/2023/06/Final-Solutions_BPO5_ENG.pdf"
"","2022","Theoretical","1","Resistor Circuit","A five-resistor network with an ammeter, voltmeter, and switch has its equivalent resistance, currents, voltages, and dissipated power determined for both switch states and for a periodic switching cycle.","Electromagnetism","","","equivalent resistance, Kirchhoff's laws, power dissipation, switch, average power","https://drive.google.com/file/d/1xhWQxb-cYkwqfRsp1ugbhodnjle95TCf/view?usp=share_link","https://drive.google.com/file/d/1M3P_qnM6NVhOHjFxzMFCmbFYRBcRYjhf/view?usp=share_link"
"","2022","Theoretical","2","Skier's Descent","A skier descends a slope with combined kinetic friction and quadratic air drag; using position-time data from video analysis, linearize the equation of motion graphically to extract friction coefficient, drag coefficient, and terminal speed.","Mechanics","Experimental Methods","Fluid Mechanics","air drag, friction, terminal velocity, graphical linearization, data analysis, kinematics","https://drive.google.com/file/d/1xhWQxb-cYkwqfRsp1ugbhodnjle95TCf/view?usp=share_link","https://drive.google.com/file/d/1M3P_qnM6NVhOHjFxzMFCmbFYRBcRYjhf/view?usp=share_link"
"","2022","Theoretical","3","Bead on a Spring Rail","A frictionless bead constrained to a rail is connected to a spring whose other end slides on a perpendicular frictionless rail; find the stopping distance, condition for reversal, and return speed under kinetic friction.","Mechanics","","","spring force, friction, energy methods, rail constraint, work-energy theorem","https://drive.google.com/file/d/1xhWQxb-cYkwqfRsp1ugbhodnjle95TCf/view?usp=share_link","https://drive.google.com/file/d/1M3P_qnM6NVhOHjFxzMFCmbFYRBcRYjhf/view?usp=share_link"
"","2022","Theoretical","4","Galileo's Minimum Descent Time","A material point slides without friction down inclined ramps; determine which chord of a vertical circle gives the shortest descent time and minimize descent time for a three-ramp brachistochrone model.","Mechanics","Mathematical Methods","","brachistochrone, inclined plane, optimization, Galileo, descent time","https://drive.google.com/file/d/1xhWQxb-cYkwqfRsp1ugbhodnjle95TCf/view?usp=share_link","https://drive.google.com/file/d/1M3P_qnM6NVhOHjFxzMFCmbFYRBcRYjhf/view?usp=share_link"
"","2021","Theoretical","1","Annoying Mosquito","A mosquito flies back and forth between two approaching hands at constant speeds; find the times and positions at which the mosquito reaches each hand, and the total distance traveled.","Mechanics","","","relative motion, 1D kinematics, closing speeds, constant velocity","https://balkanphysicalunion.info/?p=2120","https://balkanphysicalunion.info/?p=2120"
"","2021","Theoretical","2","Parabolic Motion","A block launched on a parabolic ramp undergoes projectile-like motion with and without friction; find trajectories, maximum heights, and launch speeds from given geometric constraints.","Mechanics","","","projectile motion, parabolic trajectory, inclined ramp, friction, kinematics","https://balkanphysicalunion.info/?p=2120","https://balkanphysicalunion.info/?p=2120"
"","2021","Theoretical","3","Coil Resistance Measurement","The electric resistance of a metallic coil is determined geometrically from resistivity and dimensions; two ammeter-voltmeter circuit configurations are compared to analyze measurement precision and power dissipated.","Electromagnetism","Experimental Methods","","resistivity, coil geometry, ammeter, voltmeter, measurement accuracy, systematic error","https://balkanphysicalunion.info/?p=2120","https://balkanphysicalunion.info/?p=2120"
"","2021","Theoretical","4","Electric Circuit with Lamp","An incandescent lamp with a nonlinear temperature-dependent current-voltage characteristic is connected in series or parallel with a known resistor; use graphical load-line intersection to find operating currents.","Electromagnetism","","","nonlinear I-V characteristic, tungsten filament, load line, graphical method, series/parallel circuits","https://balkanphysicalunion.info/?p=2120","https://balkanphysicalunion.info/?p=2120"
"","2020","Theoretical","1","City Car","A front-wheel-drive car with a maximum-power motor and static-friction limit accelerates from rest; find maximum acceleration, minimum time to 30 m/s, and top speed limited by quadratic air drag.","Mechanics","","","Newton's second law, friction, power, air drag, terminal velocity, kinematics","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Solutions.pdf"
"","2020","Theoretical","2","Block on a Spring","A heavy block falls from rest onto a spring with air-resistance friction, compressing it; find successive compression distances and rebound heights across multiple bounces until the block comes to rest.","Mechanics","","","energy conservation, spring compression, damping, oscillations, friction","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Solutions.pdf"
"","2020","Theoretical","3","Friction Coefficients","A body slides down an inclined plane and onto a horizontal surface; given measured stopping distances as a function of inclination angle, graphically extract the two friction coefficients.","Mechanics","Experimental Methods","","inclined plane, sliding friction, graphical linearization, data analysis","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Solutions.pdf"
"","2020","Theoretical","4","Electric Resistance Measurement","A student constructs an ohmmeter and analyzes ammeter-voltmeter resistance-measurement circuits; find optimal switch configuration, ohmmeter calibration, measurement precision, and parallax reading errors.","Electromagnetism","Experimental Methods","","Ohm's law, ammeter, voltmeter, internal resistance, measurement error, parallax, ohmmeter","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Problems.pdf","https://balkanphysicalunion.info/wp-content/uploads/2020/11/2020-BPO-Solutions.pdf"
"","2019","Theoretical","1","Gravitational Billiard","A point particle bounces elastically off a parabolic boundary in a uniform gravitational field; find periodic orbits touching the boundary in 1, 2, and 3 points, and compute their periods.","Mechanics","Mathematical Methods","","projectile motion, billiards, parabola, periodic orbits, reflection","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Problems-.pdf","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Solutions.pdf"
"","2019","Theoretical","2","Spring-Coupled Masses and Pulley","Two bodies on a smooth surface are connected by a spring; a third body hangs via a pulley from one of them. Find the minimum/maximum separation and the friction coefficient for rest or constant-speed motion.","Mechanics","","","spring, coupled oscillators, Atwood machine, pulley, friction, energy conservation","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Problems-.pdf","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Solutions.pdf"
"","2019","Theoretical","3","Fastest Path Through the Field","A man must walk from a field to a road destination at different speeds in each region; find the optimal path minimizing total travel time, analogous to Snell's law of refraction.","Mechanics","Mathematical Methods","","Fermat's principle analogy, optimization, Snell's law analogy, calculus of variations","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Problems-.pdf","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Solutions.pdf"
"","2019","Theoretical","4","Mysterious Resistor Network","A circuit of four resistors and two switches has its total resistance measured in four successive configurations; deduce all resistor values and initial switch states from the resistance data alone.","Electromagnetism","","","DC circuits, equivalent resistance, switches, Kirchhoff's laws, inverse problem","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Problems-.pdf","https://balkanphysicalunion.info/wp-content/uploads/2019/07/2019-BPO-Solutions.pdf"
